,query_start,query_end,subject_names,subject_keys,subject_starts,subject_ends,cost,material,span,type,internal_or_external,efficiency,complexity,notes,DESIGN_ID,DESIGN_KEY,ASSEMBLY_ID
0,51,79,['pINS-01-hU6-polIII_NORv'],['6e8426f2-92dc-4b0e-a3eb-d0c0f5a31aac'],[1581],[1609],10.526315789473685,10.0,28.0,PCR_PRODUCT,internal,0.95,,"{'num_misprimings': 0, 'n_templates_eval': 0}",0,80e1ea9e-fe98-4fcf-82d9-1f8bf79e8147,0
1,79,1379,[],[],[],[],7630.650461538463,313.8,1300.0,GAP,external,0.04112362394027584,24.31692307692308,{'highly_complex': True},0,80e1ea9e-fe98-4fcf-82d9-1f8bf79e8147,0
2,1379,3844,['8644__j5_0309_(T154Sc)_reverse'],['b1a3a5bb-5582-4c4d-bcf7-769aa472cb4c'],[0],[41],10.526315789473685,10.0,2465.0,PCR_PRODUCT_WITH_RIGHT_PRIMER,internal,0.95,,"{'num_misprimings': 0, 'n_templates_eval': 0}",0,80e1ea9e-fe98-4fcf-82d9-1f8bf79e8147,0
3,3844,3801,[],[],[],[],0.0,0.0,-43.0,OVERLAP,external,0.9,,,0,80e1ea9e-fe98-4fcf-82d9-1f8bf79e8147,0
4,3801,4800,['8890__j5_0331_(TIR1_E239K)_forward'],['22e834de-45a8-4e9e-8973-69b1a2d2a175'],[0],[36],10.526315789473685,10.0,999.0,PCR_PRODUCT_WITH_PRIMERS,internal,0.95,,"{'num_misprimings': 0, 'n_templates_eval': 0}",0,80e1ea9e-fe98-4fcf-82d9-1f8bf79e8147,0
5,4800,4767,[],[],[],[],0.0,0.0,-33.0,OVERLAP,external,0.9,,,0,80e1ea9e-fe98-4fcf-82d9-1f8bf79e8147,0
6,4767,5962,['8109__G1S'],['17f56731-2be3-422c-8a7e-368b3beaf7e2'],[0],[30],10.526315789473685,10.0,1195.0,PCR_PRODUCT_WITH_LEFT_PRIMER,internal,0.95,,"{'num_misprimings': 0, 'n_templates_eval': 0}",0,80e1ea9e-fe98-4fcf-82d9-1f8bf79e8147,0
7,0,51,[],[],[],[],52.16666666666666,46.949999999999996,51.0,GAP,external,0.9,6.000000000000003,,0,80e1ea9e-fe98-4fcf-82d9-1f8bf79e8147,0
0,1648,4113,['8644__j5_0309_(T154Sc)_reverse'],['b1a3a5bb-5582-4c4d-bcf7-769aa472cb4c'],[0],[41],10.526315789473685,10.0,2465.0,PCR_PRODUCT_WITH_RIGHT_PRIMER,internal,0.95,,"{'num_misprimings': 0, 'n_templates_eval': 0}",1,3c463ead-9f6f-4558-8904-8d640e64fbd8,0
1,4113,4076,[],[],[],[],0.0,0.0,-37.0,OVERLAP,external,0.9,,,1,3c463ead-9f6f-4558-8904-8d640e64fbd8,0
